what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1310956462898
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1310956465562
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1310956465984
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310956466159
started,bundle,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp",1310956466171
started,bundle,org.jboss.tools.common.text.ext,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.text.ext",1310956466234
started,bundle,com.aptana.preview,3.0.0.1305918154,"com.aptana.preview",1310956466461
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1310956470501
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1310956470576
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310956470593
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1310956473879
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310956482804
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310956485461
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310956485854
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310956488668
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310956488801
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1310956488969
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310956489155
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310956489155
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310956542464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310956542668
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1310956552156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310957222690
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310957236260
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310957236413
